t_sec,x_m,y_m,vx_mps,vy_mps,ax_mps2,ay_mps2
-3.750000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-3.500000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-3.250000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-3.000000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-2.750000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-2.500000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-2.250000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-2.000000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-1.750000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-1.500000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-1.250000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-1.000000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-0.750000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-0.500000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
-0.250000,-0.0009765625,0.0,0.0,0.0,0.0,0.0
0.000000,0.0,0.0,-0.0,0.0,0.0,0.0
